Pieve Santo Stefano;AR;G653
Pieve Tesino;TN;G656
Pieve Torina;MC;G657
Pieve Vergonte;VB;G658
Piglio;FR;G659
Pigna;IM;G660
Pignataro Maggiore;CE;G661
Pignataro Interamna;FR;G662
Pignola;PZ;G663
Pignone;SP;G664
Pigra;CO;G665
Pila;VC;G666
Pimentel;SU;G669
Pimonte;NA;G670
Pinarolo Po;PV;G671
Pinasca;TO;G672
Pincara;RO;G673
Pinerolo;TO;G674
Pino d'Asti;AT;G676
Pino Torinese;TO;G678
Pinzano al Tagliamento;PN;G680
Pinzolo;TN;G681
Piobbico;PU;G682
Piobesi d'Alba;CN;G683
Piobesi Torinese;TO;G684
Piode;VC;G685
Pioltello;MI;G686
Piombino;LI;G687
Piombino Dese;PD;G688
Pioraco;MC;G690
Piossasco;TO;G691
Piovà Massaia;AT;G692
Piove di Sacco;PD;G693
Piovene Rocchette;VI;G694
Piozzano;PC;G696
Piozzo;CN;G697
Priverno;LT;G698
Piraino;ME;G699
Pisa;PI;G702
Pisano;NO;G703
Pisoniano;RM;G704
Piscina;TO;G705
Pisciotta;SA;G707
Pisogne;BS;G710
Pisticci;MT;G712
Pistoia;PT;G713
Pitigliano;GR;G716
Piubega;MN;G717
Piuro;SO;G718
Piverone;TO;G719
Pizzale;PV;G720
Pizzighettone;CR;G721
Pizzo;VV;G722
Pizzoferrato;CH;G724
Pizzoli;AQ;G726
Pizzone;IS;G727
Pizzoni;VV;G728
Placanica;RC;G729
Plataci;CS;G733
Platania;CZ;G734
Platì;RC;G735
Taipana;UD;G736
Plesio;CO;G737
Ploaghe;SS;G740
Plodio;SV;G741
Pocapaglia;CN;G742
Pocenia;UD;G743
Podenzana;MS;G746
Podenzano;PC;G747
Pofi;FR;G749
Poggiardo;LE;G751
Poggibonsi;SI;G752
Poggio Rusco;MN;G753
Poggio a Caiano;PO;G754
Poggio Bustone;RI;G756
Poggio Catino;RI;G757
Poggiodomo;PG;G758
Poggiofiorito;CH;G760
Poggio Imperiale;FG;G761
Poggiomarino;NA;G762
Poggio Mirteto;RI;G763
Poggio Moiano;RI;G764
Poggio Nativo;RI;G765
Poggio Picenze;AQ;G766
Poggioreale;TP;G767
Poggio Renatico;FE;G768
Poggiorsini;BA;G769
Poggio San Lorenzo;RI;G770
Poggio San Marcello;AN;G771
Pogliano Milanese;MI;G772
Pognana Lario;CO;G773
Pognano;BG;G774
Pogno;NO;G775
Pojana Maggiore;VI;G776
Poirino;TO;G777
Polaveno;BS;G779
Polcenigo;PN;G780
Polesella;RO;G782
Poli;RM;G784
Polia;VV;G785
Policoro;MT;G786
Polignano a Mare;BA;G787
San Pietro in Cerro;PC;G788
Polinago;MO;G789
Polino;TR;G790
Polistena;RC;G791
Polizzi Generosa;PA;G792
Polla;SA;G793
Pollein;AO;G794
Pollena Trocchia;NA;G795
Pollica;SA;G796
Pollina;PA;G797
Pollone;BI;G798
Pollutri;CH;G799
Polonghera;CN;G800
Polpenazze del Garda;BS;G801
Polverara;PD;G802
Polverigi;AN;G803
Pomarance;PI;G804
Pomaretto;TO;G805
Pomarico;MT;G806
Pomaro Monferrato;AL;G807
Pomarolo;TN;G808
Pombia;NO;G809
Pomezia;RM;G811
Pomigliano d'Arco;NA;G812
Pompei;NA;G813
Pompeiana;IM;G814
Pompiano;BS;G815
Pomponesco;MN;G816
Pompu;OR;G817
Poncarale;BS;G818
Ponderano;BI;G820
Ponna;CO;G821
Ponsacco;PI;G822
Ponso;PD;G823
Pontassieve;FI;G825
Pont-Canavese;TO;G826
Ponte;BN;G827
Ponte in Valtellina;SO;G829
Ponte Gardena/Waidbruck;BZ;G830
Pontebba;UD;G831
Ponte Buggianese;PT;G833
Pontecagnano Faiano;SA;G834
Pontecchio Polesine;RO;G836
Pontechianale;CN;G837
Pontecorvo;FR;G838
Pontecurone;AL;G839
Pontedassio;IM;G840
Ponte dell'Olio;PC;G842
Pontedera;PI;G843
Ponte di Legno;BS;G844
Ponte di Piave;TV;G846
Ponte Lambro;CO;G847
Pontelandolfo;BN;G848
Pontelatone;CE;G849
Pontelongo;PD;G850
Ponte Nizza;PV;G851
Pontenure;PC;G852
Ponteranica;BG;G853
Pont-Saint-Martin;AO;G854
Ponte San Nicolò;PD;G855
